MIP,STDIP,EKIP,SIP,MC,STDC,EKC,SC,TARGET
0.120058034095031,0.0438355076541699,0.589220434536502,0.52834000616916,0.0518735324144028,0.265171561698417,0.218583431242575,0.0382294490231035,1
0.00689154878491114,0.102951591564114,0.682187751279178,0.648879483528752,0.0996571529301572,0.407227179296594,0.155986552206433,0.0161469086260622,1
0.191875226695684,0.283390531766113,0.5879138065495,0.312740685790035,0.0141658674187295,0.0967551664964516,0.421173187430141,0.164608757550252,1
0.984040623866522,0.161936615034893,0.156025116691973,0.159678442949565,0.0181951472225202,0.102243006023789,0.31911932472427,0.0979140117417361,0
0.981501632208923,0.43079223983555,0.2173095844926,0.0654745027937266,0.917766312602042,0.93581220312137,0.00815964375209333,0.000236485576272013,0
0.0333696046427276,0.301095278314127,0.681201379011035,0.417172941768792,0.13167642290251,0.428987189464146,0.146500758291751,0.0150970632149674,1
0.956111715632934,0.310402274086124,0.256840532063079,0.110773278621101,0.719736304993706,0.745031290394257,0.0284640612901866,0.000454011172649654,0
0.949220166848023,0.121753679660478,0.133051574071758,0.192894438117228,0.0102798999026745,0.0984987037093443,0.436970716026572,0.172436856734447,0
0.191875226695684,0.111540081574609,0.791656785791357,0.703447729570267,0.0752554816729462,0.331411352491172,0.18390930706663,0.0250403434618702,1
0.997461008342401,0.159055011649005,0.0793221558227503,0.19975793151887,0.0368643273592555,0.21262493002289,0.239309962330648,0.0455258794403794,0
0.966993108451215,0.135399255554847,0.0564611082126419,0.175655802319036,0.0117516067504989,0.0598205517923331,0.453322944674449,0.221458080234696,0
0.964816829887559,0.090991235853559,0.169879519718735,0.233603960781776,0.00962397063137008,0.0554539987369577,0.443859334177659,0.205840871004565,0
0.140369967355822,0.0888370347246788,0.617336763867059,0.548867555653376,0.0350178037877967,0.226420342896283,0.26021687619979,0.053924893178926,1
0.964091403699674,0.166987300970611,0.101645859657882,0.149780419804573,0.00524743415725041,0.0446727637197128,0.57527445656948,0.334727420156059,0
0.964454116793616,0.264539448362332,0.115754164099657,0.110872910629923,0.0124736801444622,0.084462755099569,0.375254364724205,0.134738897885787,0
0.192963365977512,0.229706530802498,0.58309946041454,0.388866619961798,0.0766059242980933,0.366543275788562,0.186280700374532,0.0247312636854241,1
0.979325353645267,0.119603086645913,0.183777927842914,0.215505120937358,0.000981137896352162,0.0142172814120472,0.82080595796765,0.656784397189763,0
0.988393180993834,0.159995757264857,0.0970367176309871,0.1544972776396,0.0142209875253402,0.0686652854820341,0.361086942057001,0.138342821692685,0
0.961189698948132,0.0575384239991619,0.0850869652067618,0.298652277451978,0.0119114550557145,0.0874831469105491,0.394945040398141,0.147798230560398,0
0.177366702937976,0.0973639525990812,0.609958302251438,0.567940931555991,0.0128870809440426,0.112134796923225,0.417064937610943,0.156511581759444,1
